movie_titles,movie_urls,movies_release_years,movies_genres,movies_runtimes,movies_age_ratings,movies_imdb_ratings,movies_streaming_availability
Jigarthanda Double X,https://www.justwatch.com/in/movie/jigarthanda-doublex,2023,"Drama, Action & Adventure, Comedy, Western",2h,UA,8.1,"Netflix, Sun Nxt."
Past Lives,https://www.justwatch.com/in/movie/past-lives,2023,"Drama, Romance",1h,UA,7.9,Lionsgate Play.
Poor Things,https://www.justwatch.com/in/movie/poor-things,2023,"Comedy, Romance, Science-Fiction, Drama",2h,Age rating not found,8.4,Streaming not available
Society of the Snow,https://www.justwatch.com/in/movie/society-of-the-snow,2023,"History, Drama, Mystery & Thriller",2h,Age rating not found,7.9,Netflix.
Aquaman and the Lost Kingdom,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,2023,"Action & Adventure, Fantasy, Science-Fiction",2h,Age rating not found,5.9,Streaming not available
Leo,https://www.justwatch.com/in/movie/leo-2023,2023,"Mystery & Thriller, Action & Adventure, Crime, Drama",2h,UA,7.2,Netflix.
Lift,https://www.justwatch.com/in/movie/lift-0,2024,"Comedy, Crime, Drama, Mystery & Thriller, Action & Adventure",1h,Age rating not found,5.5,Netflix.
The Marvels,https://www.justwatch.com/in/movie/the-marvels,2023,"Action & Adventure, Science-Fiction, Fantasy",1h,Age rating not found,5.6,Streaming not available
Toby,https://www.justwatch.com/in/movie/toby,2023,"Drama, Mystery & Thriller, Action & Adventure, Crime",2h,Age rating not found,7.4,Sony Liv.
The Family Plan,https://www.justwatch.com/in/movie/the-family-plan,2023,"Action & Adventure, Comedy",1h,A,6.3,Apple TV Plus.
Rocky Aur Rani Kii Prem Kahaani,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,2023,"Comedy, Drama, Kids & Family, Romance",2h,Age rating not found,6.6,Amazon Prime Video or rent it on Amazon Video online.
Annapoorani,https://www.justwatch.com/in/movie/annapoorani,2023,"Comedy, Drama",2h,UA,3.6,Streaming not available
Guthlee Ladoo,https://www.justwatch.com/in/movie/guthlee-ladoo,2023,Drama,1h,Age rating not found,7.7,Amazon Prime Video.
Gadar 2,https://www.justwatch.com/in/movie/gadar-2,2023,"Action & Adventure, Drama, Mystery & Thriller",2h,UA,5.2,Zee5.
The Creator,https://www.justwatch.com/in/movie/the-creator,2023,"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",2h,Age rating not found,6.8,"Hotstar. It is also possible to buy ""The Creator"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Amazon Video, Google Play Movies, YouTube online."
Napoleon,https://www.justwatch.com/in/movie/napoleon-2023,2023,"Action & Adventure, Drama, History, War & Military",2h,Age rating not found,6.5,Streaming not available
Keedaa Cola,https://www.justwatch.com/in/movie/keedaa-cola,2023,"Comedy, Crime, Action & Adventure",2h,U,8.1,aha.
Anyone But You,https://www.justwatch.com/in/movie/anyone-but-you,2023,"Comedy, Romance",1h,Age rating not found,6.6,Streaming not available
Harry Potter and the Philosopher's Stone,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,2001,"Action & Adventure, Fantasy, Kids & Family",2h,U,7.6,"Jio Cinema. It is also possible to buy ""Harry Potter and the Philosopher's Stone"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
Zara Hatke Zara Bachke,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,2023,"Romance, Drama, Kids & Family, Comedy",2h,UA,6.5,Streaming not available
The Holdovers,https://www.justwatch.com/in/movie/the-holdovers,2023,"Drama, Comedy",2h,Age rating not found,,Streaming not available
Dada,https://www.justwatch.com/in/movie/dada-2023,2023,"Drama, Comedy, Romance, Kids & Family",2h,U,8.2,Amazon Prime Video.
Curry & Cyanide: The Jolly Joseph Case,https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case,2023,"Documentary, Crime",1h,Age rating not found,,Netflix.
Godzilla Minus One,https://www.justwatch.com/in/movie/godzilla-minus-one,2023,"Horror, Drama, Science-Fiction, Action & Adventure",2h,Age rating not found,8.3,Streaming not available
Tejas,https://www.justwatch.com/in/movie/tejas,2023,"Action & Adventure, Drama, Mystery & Thriller",1h,Age rating not found,6.1,Streaming not available
365 Days,https://www.justwatch.com/in/movie/365-days,2020,"Drama, Romance, Made in Europe",1h,Age rating not found,3.3,Netflix.
Interstellar,https://www.justwatch.com/in/movie/interstellar,2014,"Drama, Science-Fiction, Action & Adventure",2h,Age rating not found,8.7,"Amazon Prime Video, Jio Cinema. It is also possible to buy ""Interstellar"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
Rebel Moon: Part One - A Child of Fire,https://www.justwatch.com/in/movie/rebel-moon,2023,"Action & Adventure, Drama, Fantasy, Science-Fiction",2h,Age rating not found,5.6,Netflix.
Leave the World Behind,https://www.justwatch.com/in/movie/leave-the-world-behind-2023,2023,"Science-Fiction, Drama, Mystery & Thriller",2h,Age rating not found,6.5,Netflix.
Pathaan,https://www.justwatch.com/in/movie/pathaan,2023,"Mystery & Thriller, Action & Adventure",2h,Age rating not found,5.9,"Amazon Prime Video. It is also possible to buy ""Pathaan"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Google Play Movies, YouTube, Apple TV online."
Guntur Kaaram,https://www.justwatch.com/in/movie/ssmb-28,2024,"Action & Adventure, Drama, Kids & Family",2h,UA,6.4,Streaming not available
Mad Max: Fury Road,https://www.justwatch.com/in/movie/mad-max-fury-road,2015,"Action & Adventure, Science-Fiction, Mystery & Thriller",2h,A,8.1,"Amazon Prime Video, Jio Cinema. It is also possible to buy ""Mad Max: Fury Road"" on Apple TV, Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube, Amazon Video, Apple TV online."
Neru,https://www.justwatch.com/in/movie/neru,2023,"Drama, Mystery & Thriller",2h,UA,7.7,Streaming not available
Sapta Sagaradaache Ello: Side B,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,2023,"Drama, Romance",2h,UA,8.4,Amazon Prime Video.
Aquaman,https://www.justwatch.com/in/movie/aquaman,2018,"Action & Adventure, Fantasy, Science-Fiction",2h,UA,6.8,"Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""Aquaman"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
Pushpa: The Rise - Part 1,https://www.justwatch.com/in/movie/pushpa,2021,"Action & Adventure, Drama, Mystery & Thriller, Crime",2h,UA,7.6,Amazon Prime Video or rent it on Amazon Video online.
Merry Christmas,https://www.justwatch.com/in/movie/merry-christmas-2024,2024,"Drama, Mystery & Thriller",2h,UA,8.0,Streaming not available
Antony,https://www.justwatch.com/in/movie/antony-2023,2023,"Action & Adventure, Drama, Kids & Family, Mystery & Thriller",2h,Age rating not found,6.8,Amazon Prime Video.
The Wolf of Wall Street,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,2013,"Crime, Drama, Comedy",3h,A,8.2,"Lionsgate Play. It is also possible to buy ""The Wolf of Wall Street"" on Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube online."
777 Charlie,https://www.justwatch.com/in/movie/777-charlie,2022,"Comedy, Drama",2h,UA,8.8,Voot or for free with ads on Jio Cinema.
Fast X,https://www.justwatch.com/in/movie/fast-x,2023,"Crime, Mystery & Thriller, Action & Adventure",2h,UA,5.8,"Jio Cinema. It is also possible to buy ""Fast X"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Apple TV, Google Play Movies, YouTube online."
K.G.F: Chapter 2,https://www.justwatch.com/in/movie/k-g-f-chapter-2,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",2h,UA,8.3,Amazon Prime Video or rent it on Amazon Video online.
The Batman,https://www.justwatch.com/in/movie/the-batman,2022,"Crime, Mystery & Thriller, Action & Adventure, Drama",2h,UA,7.8,"Netflix. It is also possible to buy ""The Batman"" on Google Play Movies, YouTube, Apple TV as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
Role Play,https://www.justwatch.com/in/movie/role-play-2023,2023,"Comedy, Action & Adventure, Romance",1h,Age rating not found,5.4,Amazon Prime Video.
Extra Ordinary Man,https://www.justwatch.com/in/movie/extra,2023,"Drama, Action & Adventure",2h,Age rating not found,6.0,Streaming not available
Joker,https://www.justwatch.com/in/movie/joker-2019,2019,"Crime, Mystery & Thriller, Drama",2h,A,8.4,"Amazon Prime Video, Jio Cinema. It is also possible to buy ""Joker"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
DD Returns,https://www.justwatch.com/in/movie/dd-returns,2023,"Comedy, Horror",2h,UA,6.2,"Amazon Prime Video, Zee5."
Jailer,https://www.justwatch.com/in/movie/jailer,2023,"Comedy, Action & Adventure, Crime, Mystery & Thriller",2h,UA,7.1,"Amazon Prime Video, Sun Nxt or rent it on Amazon Video online."
My Name Is Shruthi,https://www.justwatch.com/in/movie/my-name-is-shruthi,2023,"Mystery & Thriller, Crime",2h,UA,8.1,Amazon Prime Video.
Inception,https://www.justwatch.com/in/movie/inception,2010,"Action & Adventure, Science-Fiction, Mystery & Thriller",2h,UA,8.8,"Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""Inception"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
Wonka,https://www.justwatch.com/in/movie/wonka,2023,"Comedy, Kids & Family, Fantasy",1h,U,7.2,Streaming not available
Spider-Man: Across the Spider-Verse,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2,2023,"Science-Fiction, Animation, Action & Adventure, Kids & Family, Fantasy, Comedy",2h,UA,8.6,"Netflix. It is also possible to buy ""Spider-Man: Across the Spider-Verse"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Tata Play, Apple TV, Google Play Movies, YouTube online."
Batman Begins,https://www.justwatch.com/in/movie/batman-begins,2005,"Crime, Drama, Action & Adventure",2h,Age rating not found,8.2,"Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""Batman Begins"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Dumb Money,https://www.justwatch.com/in/movie/dumb-money,2023,"Comedy, Drama",1h,Age rating not found,6.9,"Netflix. It is also possible to buy ""Dumb Money"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Starfish,https://www.justwatch.com/in/movie/starfish-2023,2023,"Drama, Mystery & Thriller, Romance",1h,A,6.9,Netflix.
Joram,https://www.justwatch.com/in/movie/joram,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",1h,UA,7.5,Streaming not available
Meg 2: The Trench,https://www.justwatch.com/in/movie/the-meg-2-the-trench,2023,"Science-Fiction, Horror, Action & Adventure, Mystery & Thriller",1h,A,5.0,"Jio Cinema. It is also possible to buy ""Meg 2: The Trench"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
May December,https://www.justwatch.com/in/movie/may-december,2023,"Drama, Comedy",1h,Age rating not found,6.9,Streaming not available
Kannur Squad,https://www.justwatch.com/in/movie/kannur-squad,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",2h,UA,7.7,Hotstar.
Fukrey 3,https://www.justwatch.com/in/movie/fukrey-3,2023,"Drama, Comedy, Crime, Mystery & Thriller",2h,UA,6.2,Amazon Prime Video or rent it on Amazon Video online.
Expend4bles,https://www.justwatch.com/in/movie/the-expendables-4,2023,"Action & Adventure, Mystery & Thriller, War & Military",1h,Age rating not found,4.8,Lionsgate Play.
RRR,https://www.justwatch.com/in/movie/roudram-ranam-rudhiram,2022,"Drama, Action & Adventure",3h,UA,7.8,"Netflix, Hotstar, Zee5, VI movies and tv."
OMG 2,https://www.justwatch.com/in/movie/omg-2,2023,"Comedy, Drama",2h,A,7.6,Netflix.
Mission Raniganj,https://www.justwatch.com/in/movie/the-great-indian-rescue,2023,"Drama, History, Mystery & Thriller, Action & Adventure",2h,Age rating not found,7.3,Netflix.
Falimy,https://www.justwatch.com/in/movie/falimy,2023,Drama,2h,Age rating not found,7.3,Hotstar.
The Dark Knight,https://www.justwatch.com/in/movie/the-dark-knight,2008,"Mystery & Thriller, Drama, Action & Adventure, Crime",2h,Age rating not found,9.0,"Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""The Dark Knight"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Tumbbad,https://www.justwatch.com/in/movie/tumbbad,2018,"Horror, Fantasy, Mystery & Thriller, Drama, Made in Europe",1h,A,8.2,Streaming not available
Joe,https://www.justwatch.com/in/movie/joe-2023,2023,Drama,2h,Age rating not found,7.7,Streaming not available
Avatar: The Way of Water,https://www.justwatch.com/in/movie/avatar-2,2022,"Science-Fiction, Fantasy, Action & Adventure",3h,UA,7.6,"Hotstar. It is also possible to buy ""Avatar: The Way of Water"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Google Play Movies, YouTube online."
Maestro,https://www.justwatch.com/in/movie/maestro-2021-1,2023,"Romance, Drama, History, Music & Musical",2h,Age rating not found,6.7,Netflix.
Shaadi Mein Zaroor Aana,https://www.justwatch.com/in/movie/shaadi-mein-zaroor-aana,2017,"Kids & Family, Romance, Drama",2h,UA,7.5,Zee5.
Oldboy,https://www.justwatch.com/in/movie/oldboy-2003,2003,"Mystery & Thriller, Drama, Action & Adventure",2h,A,8.3,Amazon Prime Video.
John Wick: Chapter 4,https://www.justwatch.com/in/movie/john-wick-chapter-4,2023,"Crime, Action & Adventure, Mystery & Thriller",2h,Age rating not found,7.7,"Lionsgate Play. It is also possible to buy ""John Wick: Chapter 4"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Google Play Movies, YouTube online."
The Abandoned,https://www.justwatch.com/in/movie/the-abandoned-2023,2023,"Mystery & Thriller, Drama, Crime",1h,Age rating not found,6.3,Netflix.
2018,https://www.justwatch.com/in/movie/2018-2023,2023,"Action & Adventure, Mystery & Thriller, Drama",2h,UA,8.4,Sony Liv.
Dunkirk,https://www.justwatch.com/in/movie/dunkirk,2017,"Drama, History, Mystery & Thriller, War & Military, Action & Adventure",1h,UA,7.8,"Amazon Prime Video, Jio Cinema. It is also possible to buy ""Dunkirk"" on Apple TV, Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube, Amazon Video, Apple TV, Tata Play online."
